date,value,voltage
13-15-53,355.3,1.04
13-15-54,352.46,1.03
13-15-55,339.1,0.99
13-15-56,367.7,1.08
13-15-57,328.71,0.96
13-15-59,377.93,1.11
13-15-59,320.34,0.94
13-16-00,385.72,1.13
13-16-01,314.15,0.92
13-16-02,391.88,1.15
13-16-03,310.39,0.91
13-16-04,392.59,1.15
13-16-05,314.57,0.92
13-16-06,405.51,1.19
13-16-07,321.75,0.94
13-16-08,372.84,1.09
13-16-09,335.14,0.98
13-16-10,359.73,1.05
13-16-11,349.62,1.03
13-16-12,343.46,1.01
13-16-13,364.12,1.07
13-16-14,331.79,0.97
13-16-15,374.33,1.1
13-16-16,322.48,0.95
13-16-17,386.41,1.13
13-16-18,313.63,0.92
13-16-19,389.98,1.14
13-16-20,311.24,0.91
13-16-21,391.3,1.15
13-16-22,313.3,0.92
13-16-23,385.18,1.13
13-16-24,314.83,0.92
13-16-25,374,1.1
13-16-26,334.06,0.98
13-16-27,360.94,1.06
13-16-28,347.4,1.02
13-16-29,345.54,1.01
13-16-30,362.88,1.06
13-16-31,330.43,0.97
13-16-32,376.74,1.1
13-16-33,318.91,0.94
13-16-34,385.95,1.13
13-16-35,311.78,0.91
13-16-36,391.26,1.15
13-16-37,308.32,0.9
13-16-38,387.84,1.14
13-16-39,316.84,0.93
13-16-40,380.89,1.12
13-16-41,324.92,0.95
13-16-42,370.31,1.09
13-16-43,337.29,0.99
13-16-44,357.28,1.05
13-16-45,349.39,1.02
13-16-46,344.46,1.01
13-16-47,363.04,1.06
13-16-49,327.78,0.96
13-16-49,379.6,1.11
13-16-50,320.14,0.94
13-16-51,390.19,1.14
13-16-52,313.8,0.92
13-16-53,390.28,1.14
13-16-54,310.85,0.91
13-16-55,389.73,1.14
13-16-56,312.61,0.92
13-16-57,385.67,1.13
13-16-59,319.07,0.94
13-16-59,375.98,1.1
13-17-00,331.54,0.97
13-17-01,362.32,1.06
13-17-02,346.96,1.02
13-17-03,341.26,1
13-17-04,369.31,1.08
13-17-05,329.47,0.97
13-17-07,381.04,1.12
13-17-08,317.61,0.93
13-17-09,389.88,1.14
13-17-10,311.01,0.91
13-17-11,392.74,1.15
13-17-12,313.37,0.92
13-17-13,385.25,1.13
13-17-14,324.63,0.95
13-17-15,369.96,1.08
13-17-16,343.08,1.01
13-17-17,347,1.02
13-17-18,365.87,1.07
13-17-19,329.92,0.97
13-17-20,381.08,1.12
13-17-21,314.6,0.92
13-17-22,394.42,1.16
13-17-23,310.19,0.91
13-17-24,391.62,1.15
13-17-25,314.56,0.92
13-17-26,382.76,1.12
13-17-27,327.07,0.96
13-17-28,366.7,1.08
13-17-29,341.81,1
13-17-30,350.44,1.03
13-17-31,365.62,1.07
13-17-32,330.65,0.97
13-17-33,382.48,1.12
13-17-34,314.92,0.92
13-17-35,392.92,1.15
13-17-36,310.85,0.91
13-17-37,391.83,1.15
13-17-38,314.95,0.92
13-17-39,382.26,1.12
13-17-40,329.65,0.97
13-17-41,364.65,1.07
13-17-42,349.03,1.02
13-17-43,343.47,1.01
13-17-44,369.27,1.08
13-17-45,325.68,0.96
13-17-46,385.66,1.13
13-17-47,313.37,0.92
13-17-48,393.48,1.15
13-17-49,311.93,0.91
13-17-50,389.29,1.14
13-17-51,319.75,0.94
13-17-52,377.86,1.11
13-17-53,333.75,0.98
13-17-54,361.12,1.06
13-17-55,347.22,1.02
13-17-56,346.06,1.01
13-17-57,370.43,1.09
13-17-58,326.97,0.96
13-17-59,384.38,1.13
13-18-00,314.03,0.92
13-18-01,392.17,1.15
13-18-02,311.61,0.91
