date,value,voltage
13-28-53,365.16,1.07
13-28-54,333.33,0.98
13-28-55,341.08,1
13-28-56,358.48,1.05
13-28-57,318.99,0.94
13-28-58,377.47,1.11
13-28-59,309.73,0.91
13-29-00,378.44,1.11
13-29-01,317.14,0.93
13-29-02,359.13,1.05
13-29-03,339.81,1
13-29-04,335.14,0.98
13-29-05,362.86,1.06
13-29-06,317.03,0.93
13-29-07,377.84,1.11
13-29-08,309.8,0.91
13-29-09,380.4,1.12
13-29-10,312.63,0.92
13-29-11,370.16,1.09
13-29-12,324.31,0.95
13-29-13,355.17,1.04
13-29-14,339.85,1
13-29-15,337.47,0.99
13-29-16,357.34,1.05
13-29-17,323.67,0.95
13-29-18,371.02,1.09
13-29-19,312.7,0.92
13-29-20,380.73,1.12
13-29-21,309.82,0.91
13-29-22,378.32,1.11
13-29-23,314,0.92
13-29-24,367.15,1.08
13-29-25,326.84,0.96
13-29-26,349.67,1.03
13-29-27,345.26,1.01
13-29-28,330.52,0.97
13-29-29,364.43,1.07
13-29-30,317.63,0.93
13-29-31,376.68,1.1
13-29-32,310.25,0.91
13-29-33,379.61,1.11
13-29-35,312.17,0.92
13-29-35,371.31,1.09
13-29-36,323.64,0.95
13-29-37,353.79,1.04
13-29-38,340.28,1
13-29-39,335.77,0.98
13-29-40,359.64,1.05
13-29-41,320.47,0.94
13-29-42,373.64,1.1
13-29-43,310.89,0.91
13-29-44,381.44,1.12
13-29-45,310,0.91
13-29-46,374.4,1.1
13-29-47,319.95,0.94
13-29-48,359.25,1.05
13-29-49,337.32,0.99
13-29-50,341.36,1
13-29-51,360.43,1.06
13-29-52,321.92,0.94
13-29-53,371.39,1.09
13-29-55,312.72,0.92
13-29-55,379.4,1.11
13-29-56,310.26,0.91
13-29-57,379.23,1.11
13-29-58,314.05,0.92
13-29-59,369.82,1.08
13-30-00,324.08,0.95
13-30-01,351.76,1.03
13-30-02,345.27,1.01
13-30-03,332.97,0.98
13-30-04,363.19,1.07
13-30-05,314.11,0.92
13-30-06,380.12,1.11
13-30-07,311.19,0.91
13-30-08,379.92,1.11
13-30-09,314.24,0.92
13-30-10,364.73,1.07
13-30-11,332.26,0.97
13-30-12,342.97,1.01
13-30-13,354.92,1.04
13-30-15,322.3,0.95
13-30-15,375.45,1.1
13-30-16,309.67,0.91
13-30-17,387.63,1.14
13-30-18,312.51,0.92
13-30-19,372.66,1.09
13-30-20,329.61,0.97
13-30-21,346.27,1.02
13-30-23,353.88,1.04
13-30-24,321.79,0.94
13-30-25,375.52,1.1
13-30-26,308.97,0.91
13-30-27,381.74,1.12
13-30-28,312.18,0.92
13-30-29,367.63,1.08
13-30-30,329.32,0.97
13-30-31,345.06,1.01
13-30-32,352.43,1.03
13-30-33,323.08,0.95
13-30-34,379.68,1.11
13-30-35,309.33,0.91
13-30-36,388.79,1.14
13-30-37,307.83,0.9
13-30-38,376.94,1.11
13-30-39,316.69,0.93
13-30-40,366.31,1.07
13-30-41,333.16,0.98
13-30-42,348.31,1.02
13-30-43,352.37,1.03
13-30-44,329.48,0.97
13-30-45,371.1,1.09
13-30-46,313.99,0.92
13-30-47,384.61,1.13
13-30-48,306.18,0.9
13-30-49,387.02,1.13
13-30-50,308.61,0.91
13-30-51,377.06,1.11
13-30-52,322.2,0.94
13-30-53,358.65,1.05
13-30-54,341.07,1
13-30-55,337.75,0.99
13-30-56,363.49,1.07
13-30-57,318.8,0.93
13-30-58,381.35,1.12
13-30-59,307.66,0.9
13-31-00,387.23,1.14
13-31-01,307.73,0.9
13-31-02,381.45,1.12
13-31-03,317.03,0.93
13-31-04,364.57,1.07
13-31-05,334.2,0.98
13-31-06,344.56,1.01
13-31-07,354.55,1.04
13-31-08,326.08,0.96
13-31-09,372.96,1.09
13-31-10,311.54,0.91
13-31-11,384.95,1.13
13-31-12,305.81,0.9
13-31-13,386.37,1.13
13-31-14,308.86,0.91
13-31-15,378.17,1.11
13-31-16,320.39,0.94
13-31-17,358.15,1.05
13-31-18,341.95,1
13-31-19,335.95,0.99
13-31-20,364.77,1.07
13-31-21,316.51,0.93
13-31-22,382.87,1.12
13-31-23,306.43,0.9
13-31-24,387.75,1.14
13-31-26,307.92,0.9
13-31-26,378.95,1.11
13-31-27,319.51,0.94
13-31-28,362.42,1.06
13-31-29,336.77,0.99
13-31-30,340.83,1
13-31-31,360.13,1.06
13-31-32,319.63,0.94
13-31-33,380.2,1.11
13-31-34,307.35,0.9
13-31-35,386.97,1.13
13-31-36,308.14,0.9
13-31-37,374.34,1.1
13-31-38,325.65,0.95
13-31-39,349.45,1.02
13-31-40,354.23,1.04
13-31-41,321.39,0.94
13-31-42,380.16,1.11
13-31-43,306.98,0.9
13-31-44,386.45,1.13
13-31-46,310.19,0.91
13-31-46,372,1.09
13-31-47,329.8,0.97
13-31-48,344.63,1.01
13-31-49,358.29,1.05
13-31-50,318.78,0.93
13-31-51,380.68,1.12
13-31-52,306.06,0.9
13-31-53,386.42,1.13
13-31-54,310.43,0.91
13-31-55,370.46,1.09
13-31-56,329.96,0.97
13-31-57,343.19,1.01
13-31-58,359.96,1.06
13-31-59,316.05,0.93
13-32-00,383.47,1.12
13-32-01,304.97,0.89
13-32-02,381.99,1.12
13-32-03,320.11,0.94
13-32-04,354.15,1.04
13-32-06,351.65,1.03
13-32-06,321.7,0.94
13-32-07,380.38,1.12
13-32-08,306.1,0.9
13-32-09,384.59,1.13
13-32-10,312.89,0.92
13-32-11,362.47,1.06
13-32-12,339.63,1
13-32-13,332.3,0.97
13-32-14,371.91,1.09
13-32-16,308.1,0.9
13-32-16,386.09,1.13
13-32-17,307.75,0.9
13-32-18,372.46,1.09
13-32-19,332.16,0.97
13-32-20,339.99,1
13-32-21,369.1,1.08
13-32-22,308.5,0.9
13-32-23,385.54,1.13
13-32-24,305.99,0.9
13-32-25,376.58,1.1
13-32-26,323.55,0.95
13-32-27,347.81,1.02
13-32-28,356.4,1.05
13-32-29,317.31,0.93
13-32-30,381.57,1.12
13-32-31,304.86,0.89
13-32-32,383.48,1.12
13-32-33,313.15,0.92
13-32-34,366.43,1.07
13-32-36,340.47,1
13-32-37,330.49,0.97
13-32-38,375.84,1.1
13-32-39,309.13,0.91
13-32-40,385.5,1.13
13-32-41,304.98,0.89
13-32-42,374.49,1.1
13-32-43,322.52,0.95
13-32-44,350.35,1.03
13-32-45,350.23,1.03
13-32-46,323.52,0.95
13-32-47,375.55,1.1
13-32-48,308.15,0.9
13-32-49,377.75,1.11
13-32-50,308.05,0.9
13-32-51,369.44,1.08
13-32-52,322.62,0.95
13-32-53,349.22,1.02
13-32-54,344.8,1.01
13-32-55,325.87,0.96
13-32-56,369.97,1.08
13-32-57,309.31,0.91
13-32-58,383.64,1.13
13-32-59,305.54,0.9
13-33-00,377.1,1.11
13-33-01,317.63,0.93
13-33-02,359.85,1.06
13-33-03,337.42,0.99
13-33-04,337.48,0.99
13-33-05,358.55,1.05
13-33-06,319.28,0.94
13-33-07,375.96,1.1
13-33-08,308.55,0.9
13-33-09,385.49,1.13
13-33-10,303.78,0.89
13-33-11,381.67,1.12
13-33-12,310.24,0.91
13-33-13,372.18,1.09
13-33-14,322.98,0.95
13-33-15,353.46,1.04
13-33-16,342.32,1
13-33-17,332.17,0.97
13-33-18,364.41,1.07
13-33-19,314.45,0.92
13-33-20,381.57,1.12
13-33-21,306.07,0.9
13-33-22,384.23,1.13
13-33-23,308.78,0.91
13-33-24,373.92,1.1
13-33-25,319.88,0.94
13-33-27,359.48,1.05
13-33-27,343.24,1.01
13-33-28,333.19,0.98
13-33-29,365.45,1.07
13-33-30,314.96,0.92
13-33-31,382.41,1.12
13-33-32,306.14,0.9
13-33-33,385.19,1.13
13-33-34,308.45,0.9
13-33-35,377.99,1.11
13-33-36,319.26,0.94
13-33-37,358.68,1.05
13-33-38,341.36,1
13-33-39,339.29,0.99
13-33-40,356.75,1.05
13-33-41,322.43,0.95
13-33-42,373.55,1.1
13-33-43,310.81,0.91
13-33-44,385.04,1.13
13-33-45,304.71,0.89
13-33-46,384.78,1.13
13-33-47,306.36,0.9
13-33-48,379.81,1.11
13-33-49,314.89,0.92
13-33-50,369.08,1.08
13-33-51,327.39,0.96
13-33-52,353.18,1.04
13-33-53,339.24,0.99
13-33-54,333.34,0.98
13-33-55,363.49,1.07
13-33-56,319.41,0.94
13-33-57,379.52,1.11
13-33-58,307.35,0.9
13-33-59,387.06,1.14
13-34-00,305.81,0.9
13-34-01,381.79,1.12
13-34-02,309.3,0.91
13-34-03,368.32,1.08
13-34-04,329.38,0.97
13-34-05,348.31,1.02
13-34-06,349.33,1.02
13-34-07,328.88,0.96
13-34-08,368.99,1.08
13-34-09,313.51,0.92
13-34-10,381.53,1.12
13-34-11,306.72,0.9
13-34-12,385.44,1.13
13-34-13,308.4,0.9
13-34-14,380.66,1.12
13-34-15,316.54,0.93
13-34-16,365.81,1.07
13-34-17,333.78,0.98
13-34-18,346.59,1.02
